,Sentences,Date_1,Words,Date_2,Numbers,Date_3
211,""" Sometimes the whale shakes its tremendous tail in the air , which , cracking like a whip , resounds to the distance of three or four miles .""",nov 21 1972,baby,6 jan 1982,4485,13.05.78
212,-- SCORESBY .,7 november 2010,unlike,tuesday april 14 2020,610,thursday november 18 1993
213,""" Mad with the agonies he endures from these fresh attacks , the infuriated Sperm Whale rolls over and over ; he rears his enormous head , and with wide expanded jaws snaps at everything around him ; he rushes at the boats with his head ; they are propelled before him with vast swiftness , and sometimes utterly destroyed .",saturday january 5 2019,Astonishment,jun 11 2020,-7797,17 oct 2007
214,...,8 april 2018,indisposed,28 dec 1996,-6779,20 dec 1983
215,"It is a matter of great astonishment that the consideration of the habits of so interesting , and , in a commercial point of view , so important an animal ( as the Sperm Whale ) should have been so entirely neglected , or should have excited so little curiosity among the numerous , and many of them competent observers , that of late years , must have possessed the most abundant and the most convenient opportunities of witnessing their habitudes .""",28 february 2000,combat,november 11 2016,7280,sep 16 1990
216,"-- THOMAS BEALE ' S HISTORY OF THE SPERM WHALE , 1839 .",tuesday december 7 2010,talker,14 mar 1983,-3793,sunday august 29 2010
217,""" The Cachalot "" ( Sperm Whale ) "" is not only better armed than the True Whale "" ( Greenland or Right Whale ) "" in possessing a formidable weapon at either extremity of its body , but also more frequently displays a disposition to employ these weapons offensively and in manner at once so artful , bold , and mischievous , as to lead to its being regarded as the most dangerous to attack of all the known species of the whale tribe .""",friday june 15 1979,fool,saturday september 23 1972,6429,tuesday march 2 1971
218,"-- FREDERICK DEBELL BENNETT ' S WHALING VOYAGE ROUND THE GLOBE , 1840 .",wednesday february 3 2016,clouds,18.10.13,-3755,27 october 1999
219,October 13 .,tuesday june 26 2018,revival,25 11 98,4856,saturday august 12 2017
220,""" There she blows ,"" was sung out from the mast - head .",14 january 2009,worthless,6 april 1979,1047,march 14 2000
221,""" Where away ?""",5/17/79,insult,30 may 1984,-7859,10 mar 1999
222,demanded the captain .,21.10.73,forenoon,september 4 1977,-1129,monday september 6 1976
223,""" Three points off the lee bow , sir .""",thursday march 21 1991,complaints,6 may 1995,-1583,wednesday september 24 1986
224,""" Raise up your wheel .",saturday may 24 2014,mistress,jan 13 1980,-9942,wednesday january 13 1999
225,"Steady !""",monday may 11 1970,communicate,23 december 2017,-674,29.01.72
226,""" Steady , sir .""",february 25 2001,Mary,monday december 14 2015,-3239,december 6 2014
227,""" Mast - head ahoy !",thursday january 9 1992,tolerable,thursday september 26 1974,-8810,26 may 2010
228,"Do you see that whale now ?""",saturday december 6 2003,defy,monday june 25 1984,1805,4 december 2019
229,""" Ay ay , sir !",tuesday october 31 1989,comforter,saturday november 8 1975,4255,11/13/76
230,A shoal of Sperm Whales !,18 february 1977,security,friday april 25 1980,308,sunday march 1 1987
231,There she blows !,14 07 73,pursuit,feb 17 1995,9483,12 apr 2003
232,"There she breaches !""",8/20/99,fondness,friday march 11 2011,-5314,tuesday january 21 2014
233,""" Sing out !",monday march 1 2010,Well,aug 11 2018,-3955,saturday august 13 1977
234,"sing out every time !""",saturday october 8 1977,"!""",september 8 1971,-4164,sunday september 10 2017
235,""" Ay Ay , sir !",jan 28 1992,recurred,12 february 1997,-6635,jun 16 2017
236,There she blows !,friday march 25 1977,gout,27 jul 1986,-9093,friday september 4 1970
237,"there -- there -- THAR she blows -- bowes -- bo - o - os !""",19 04 72,repaired,february 4 1980,3617,jul 4 2012
238,""" How far off ?""",jul 27 1978,beset,sunday april 28 1974,5505,thursday april 15 1971
239,""" Two miles and a half .""",06.11.88,thrill,friday june 7 2002,9019,25 jan 1973
240,""" Thunder and lightning !",sunday october 3 1982,remains,24 nov 1983,-5127,september 22 1974
241,so near !,august 8 1994,inventive,saturday september 3 2016,5881,27 jun 1976
242,"Call all hands .""",30.06.89,continual,saturday september 18 1982,-7541,thursday april 18 2019
243,-- J . ROSS BROWNE ' S ETCHINGS OF A WHALING CRUIZE .,30 december 2011,experiencing,sunday february 6 1972,-7313,thursday april 12 2018
244,1846 .,october 12 1996,unite,16 apr 1974,9533,7 march 1970
245,""" The Whale - ship Globe , on board of which vessel occurred the horrid transactions we are about to relate , belonged to the island of Nantucket .""",sunday february 6 2000,covered,2/24/95,6305,june 20 2009
246,"--"" NARRATIVE OF THE GLOBE ,"" BY LAY AND HUSSEY SURVIVORS .",17 february 1974,articulation,tuesday june 7 1983,1740,september 9 1989
247,A . D . 1828 .,thursday december 23 1999,shedding,3 jul 1979,2704,3/18/14
248,"Being once pursued by a whale which he had wounded , he parried the assault for some time with a lance ; but the furious monster at length rushed on the boat ; himself and comrades only being preserved by leaping into the water when they saw the onset was inevitable .""",may 7 1973,follow,27 october 1986,-7023,january 9 1970
249,-- MISSIONARY JOURNAL OF TYERMAN AND BENNETT .,friday july 29 2016,answering,wednesday february 27 1985,-2912,15 jan 1974
250,""" Nantucket itself ,"" said Mr . Webster , "" is a very striking and peculiar portion of the National interest .",april 30 1982,display,2 nov 2015,-7241,02 nov 1980
251,"There is a population of eight or nine thousand persons living here in the sea , adding largely every year to the National wealth by the boldest and most persevering industry .""",thursday october 5 2017,unwounded,sunday february 26 2012,465,7 april 1986
252,"-- REPORT OF DANIEL WEBSTER ' S SPEECH IN THE U . S . SENATE , ON THE APPLICATION FOR THE ERECTION OF A BREAKWATER AT NANTUCKET .",07 oct 1993,earnest,march 28 2013,-9363,nov 15 1985
253,1828 .,monday december 10 1979,deserving,sunday march 21 1976,-6954,wednesday december 20 1972
254,""" The whale fell directly over him , and probably killed him in a moment .""",thursday march 27 1975,protestations,11/22/99,-4240,4/7/20
255,"--"" THE WHALE AND HIS CAPTORS , OR THE WHALEMAN ' S ADVENTURES AND THE WHALE ' S BIOGRAPHY , GATHERED ON THE HOMEWARD CRUISE OF THE COMMODORE PREBLE .""",friday may 10 2002,censured,26 december 2007,5192,13 july 1992
256,BY REV .,saturday august 13 1977,attendants,4 mar 1983,4110,september 25 2014
257,HENRY T . CHEEVER .,sunday february 12 1984,whenever,1 june 1996,-7474,25 04 80
258,""" If you make the least damn bit of noise ,"" replied Samuel , "" I will send you to hell .""",15 apr 1971,Folly,25 september 2001,-1654,tuesday august 18 1981
259,"-- LIFE OF SAMUEL COMSTOCK ( THE MUTINEER ), BY HIS BROTHER , WILLIAM COMSTOCK .",saturday june 25 2005,result,monday june 5 1995,-3653,2/14/78
260,ANOTHER VERSION OF THE WHALE - SHIP GLOBE NARRATIVE .,wednesday may 4 2016,21,tuesday october 27 1998,-781,1 august 1980
261,""" The voyages of the Dutch and English to the Northern Ocean , in order , if possible , to discover a passage through it to India , though they failed of their main object , laid - open the haunts of the whale .""",1 may 2013,heights,april 17 2009,8060,thursday june 21 1984
262,-- MCCULLOCH ' S COMMERCIAL DICTIONARY .,friday august 26 1977,dwell,18 july 1986,-8539,sunday october 31 1993
263,""" These things are reciprocal ; the ball rebounds , only to bound forward again ; for now in laying open the haunts of the whale , the whalemen seem to have indirectly hit upon new clews to that same mystic North - West Passage .""",friday september 29 1989,kill,may 22 1976,-3614,mar 30 2009
264,"-- FROM "" SOMETHING "" UNPUBLISHED .",1 february 1979,drop,25.07.16,-8199,14.11.91
265,""" It is impossible to meet a whale - ship on the ocean without being struck by her near appearance .",saturday july 21 1984,detest,31 aug 2014,-6580,24 december 2006
266,"The vessel under short sail , with look - outs at the mast - heads , eagerly scanning the wide expanse around them , has a totally different air from those engaged in regular voyage .""",05 oct 2016,throwing,monday august 29 1988,-9501,26 october 2003
267,-- CURRENTS AND WHALING .,monday january 26 2004,winding,30 may 1980,-4964,monday june 28 2004
268,U . S . EX .,8 may 2001,discernment,12 apr 1995,8031,thursday july 29 1999
269,EX .,9 apr 1995,quitted,oct 12 1980,9711,25 june 1998
270,""" Pedestrians in the vicinity of London and elsewhere may recollect having seen large curved bones set upright in the earth , either to form arches over gateways , or entrances to alcoves , and they may perhaps have been told that these were the ribs of whales .""",december 11 1981,helpmate,tuesday january 1 1974,1641,7 dec 1975
271,-- TALES OF A WHALE VOYAGER TO THE ARCTIC OCEAN .,saturday march 31 2018,sunk,friday may 15 1987,-5106,tuesday may 27 1980
272,""" It was not till the boats returned from the pursuit of these whales , that the whites saw their ship in bloody possession of the savages enrolled among the crew .""",wednesday july 14 1982,merited,15 nov 1974,-5615,30 jun 1970
273,-- NEWSPAPER ACCOUNT OF THE TAKING AND RETAKING OF THE WHALE - SHIP HOBOMACK .,friday june 3 2011,midst,7/30/87,-693,january 15 1978
274,""" It is generally well known that out of the crews of Whaling vessels ( American ) few ever return in the ships on board of which they departed .""",monday november 18 1991,***,6 march 1970,7369,7 09 97
275,-- CRUISE IN A WHALE BOAT .,march 10 2017,army,4 november 1990,-345,5 apr 1970
276,""" Suddenly a mighty mass emerged from the water , and shot up perpendicularly into the air .",22 12 87,accidentally,monday august 25 1975,-4799,19 march 1988
277,"It was the while .""",saturday october 20 1973,so,monday february 24 2014,412,8 april 2010
278,-- MIRIAM COFFIN OR THE WHALE FISHERMAN .,tuesday april 12 1994,oblige,sunday march 17 1974,-3499,20 october 1997
279,""" The Whale is harpooned to be sure ; but bethink you , how you would manage a powerful unbroken colt , with the mere appliance of a rope tied to the root of his tail .""",saturday february 6 2016,indelicacy,january 11 2010,-9957,14 jun 1977
280,-- A CHAPTER ON WHALING IN RIBS AND TRUCKS .,monday november 22 1999,incessant,14 july 1988,-1395,3 november 1980
281,""" On one occasion I saw two of these monsters ( whales ) probably male and female , slowly swimming , one after the other , within less than a stone ' s throw of the shore "" ( Terra Del Fuego ), "" over which the beech tree extended its branches .""",january 9 1978,resentment,wednesday november 6 2002,-530,thursday october 28 2004
282,-- DARWIN ' S VOYAGE OF A NATURALIST .,01 aug 1984,unobtrusiveness,december 9 1977,9923,august 17 2011
283,"""' Stern all !'",29 may 2003,rejoicing,6/2/71,-4877,apr 23 2013
284,"exclaimed the mate , as upon turning his head , he saw the distended jaws of a large Sperm Whale close to the head of the boat , threatening it with instant destruction ;--' Stern all , for your lives !'""",19 may 1998,comfortably,thursday december 22 1988,-9692,monday september 27 2004
285,-- WHARTON THE WHALE KILLER .,tuesday november 30 1976,HER,may 18 1973,8981,5 sep 1987
286,""" So be cheery , my lads , let your hearts never fail , While the bold harpooneer is striking the whale !""",july 4 1984,affection,saturday april 30 1994,-195,july 24 1970
287,-- NANTUCKET SONG .,jul 27 2004,Christmas,march 9 1987,5927,1 august 1972
288,""" Oh , the rare old Whale , mid storm and gale In his ocean home will be A giant in might , where might is right , And King of the boundless sea .""",monday november 6 1978,irremediable,friday november 5 1993,-8159,friday september 28 2018
289,-- WHALE SONG .,sunday november 23 2003,",""--",18 oct 1974,382,26 november 2015
290,CHAPTER 1,30 nov 2003,felicity,nov 9 2001,3480,thursday may 18 1995
291,Loomings .,tuesday october 13 1981,best,monday september 16 1985,6103,saturday november 27 2010
292,Call me Ishmael .,wednesday august 16 2017,replied,monday october 1 1984,-8474,thursday july 21 2016
293,"Some years ago -- never mind how long precisely -- having little or no money in my purse , and nothing particular to interest me on shore , I thought I would sail about a little and see the watery part of the world .",22 dec 1993,noticing,wednesday august 5 1992,-4675,october 18 1984
294,It is a way I have of driving off the spleen and regulating the circulation .,saturday march 29 2008,expediency,november 24 1983,-2727,may 21 2007
295,"Whenever I find myself growing grim about the mouth ; whenever it is a damp , drizzly November in my soul ; whenever I find myself involuntarily pausing before coffin warehouses , and bringing up the rear of every funeral I meet ; and especially whenever my hypos get such an upper hand of me , that it requires a strong moral principle to prevent me from deliberately stepping into the street , and methodically knocking people ' s hats off -- then , I account it high time to get to sea as soon as I can .",saturday july 1 1978,fears,wednesday august 25 1976,-5293,24 oct 1979
296,This is my substitute for pistol and ball .,06.02.00,undesirable,05 mar 2016,-1230,17.12.10
297,With a philosophical flourish Cato throws himself upon his sword ; I quietly take to the ship .,23 mar 1996,barbarously,december 24 1990,3942,june 23 2015
298,There is nothing surprising in this .,sunday december 24 1989,agreement,06 feb 2018,-4764,march 8 1995
299,"If they but knew it , almost all men in their degree , some time or other , cherish very nearly the same feelings towards the ocean with me .",23 06 82,hall,sunday june 29 1986,5240,1 oct 1988
300,"There now is your insular city of the Manhattoes , belted round by wharves as Indian isles by coral reefs -- commerce surrounds it with her surf .",tuesday november 3 2009,were,15 jan 2008,8983,8 february 1986
301,"Right and left , the streets take you waterward .",sunday june 19 1994,impoverishing,monday january 9 1989,-3671,friday may 1 2020
302,"Its extreme downtown is the battery , where that noble mole is washed by waves , and cooled by breezes , which a few hours previous were out of sight of land .",30 10 76,Tis,31 jan 1975,4864,14 november 1986
